formulation,dataset,n,correlation_r,p_value,significant,hit_rate_top25,hit_rate_top25_n,hit_rate_positive,hit_rate_positive_n
1. Original MADDUX,test,708,-0.154,3.9e-05,True,0.3842,177,0.4114,333
2. Barrel Rate Delta,test,708,-0.2318,0.0,True,0.3115,183,0.3647,329
3. OLS Deltas (test),test,708,0.237,0.0,True,0.5424,177,0.5286,227
4. Abs Levels (test),test,708,0.1753,3e-06,True,0.6045,177,0.601,198
5. Underperf Gap raw (test),test,708,0.5134,0.0,True,0.6949,177,0.5098,563
6. Mean Reversion,test,652,0.4937,0.0,True,0.7301,163,0.5686,408
7. Combined (test),test,652,0.5456,0.0,True,0.7362,163,0.5879,381
3. OLS Deltas (train),train,1120,0.2683,0.0,True,0.5679,280,0.5629,302
4. Abs Levels (train),train,1120,0.3024,0.0,True,0.5786,280,0.5627,343
5. Underperf Gap raw (train),train,1120,0.4505,0.0,True,0.6893,280,0.5986,573
7. Combined (train),train,1049,0.5444,0.0,True,0.7262,263,0.6821,390
